Ano,Piloto,Equipe,GPs,Vitórias,Pódios,Poles,Ptos
1950,Giuseppe Farina,Alfa Romeo,7,3,3,2,30
1951,Juan Manuel Fangio,Alfa Romeo,8,3,5,4,31
1952,Alberto Ascari,Ferrari,8,6,6,5,36
1953,Alberto Ascari,Ferrari,9,5,5,6,345
1954,Juan Manuel Fangio,Maserati Mercedes,26,24,25,14,42
1955,Juan Manuel Fangio,Mercedes,7,4,5,3,40
1956,Juan Manuel Fangio,Ferrari,8,3,5,6,40
1957,Juan Manuel Fangio,Maserati,8,4,6,4,40
1958,Mike Hawthorn,Ferrari,11,1,7,4,42
1959,Jack Brabham,Cooper,9,2,5,1,31
1960,Jack Brabham,Cooper,10,5,5,3,43
1961,Phil Hill,Ferrari,8,2,6,5,34
1962,Graham Hill,BRM,9,4,6,1,42
1963,Jim Clark,Lotus,10,7,9,7,54
1964,John Surtees,Ferrari,10,2,6,2,40
1965,Jim Clark,Lotus,10,6,6,6,54
1966,Jack Brabham,Brabham,9,4,5,3,42
1967,Denny Hulme,Brabham,11,2,8,0,51
1968,Graham Hill,Lotus,12,3,6,2,48
1969,Jackie Stewart,Matra,11,6,7,2,63
1970,Jochen Rindt*,Lotus,9,5,5,3,45
1971,Jackie Stewart,Tyrrell,11,6,7,6,62
1972,Emerson Fittipaldi,Lotus,12,5,8,3,61
1973,Jackie Stewart,Tyrrell,15,5,8,3,71
1974,Emerson Fittipaldi,McLaren,15,3,7,2,55
1975,Niki Lauda,Ferrari,14,5,8,9,645
1976,James Hunt,McLaren,16,6,8,8,69
1977,Niki Lauda,Ferrari,17,3,10,2,72
1978,Mario Andretti,Lotus,16,6,7,8,64
1979,Jody Scheckter,Ferrari,15,3,6,1,51
1980,Alan Jones,Williams,14,5,10,3,67
1981,Nelson Piquet,Brabham,15,3,7,4,50
1982,Keke Rosberg,Williams,16,1,6,1,44
1983,Nelson Piquet,Brabham,15,3,8,1,59
1984,Niki Lauda,McLaren,16,5,9,0,72
1985,Alain Prost,McLaren,16,5,11,2,73
1986,Alain Prost,McLaren,16,4,11,1,72
1987,Nelson Piquet,Williams,16,3,11,4,73
1988,Ayrton Senna,Williams,16,8,11,13,90
1989,Alain Prost,McLaren,16,4,11,2,76
1990,Ayrton Senna,McLaren,16,6,11,10,78
1991,Ayrton Senna,McLaren,16,7,12,8,96
1992,Nigel Mansell,Williams,16,9,12,14,108
1993,Alain Prost,Williams,16,7,12,13,99
1994,Michael Schumacher,Benetton,16,8,10,6,92
1995,Michael Schumacher,Benetton,17,9,11,4,102
1996,Damon Hill,Williams,16,8,10,9,97
1997,Jacques Villeneuve,Williams,17,7,8,10,81
1998,Mika Häkkinen,McLaren,16,8,11,9,100
1999,Mika Häkkinen,McLaren,16,5,10,11,76
2000,Michael Schumacher,Ferrari,17,9,12,9,108
2001,Michael Schumacher,Ferrari,17,9,14,11,123
2002,Michael Schumacher,Ferrari,17,11,17,7,144
2003,Michael Schumacher,Ferrari,16,6,8,5,93
2004,Michael Schumacher,Ferrari,18,13,15,8,148
2005,Fernando Alonso,Renault,19,7,15,6,133
2006,Fernando Alonso,Renault,18,7,14,6,134
2007,Kimi Räikkönen,Ferrari,17,6,12,3,110
2008,Lewis Hamilton,McLaren,18,5,10,7,98
2009,Jenson Button,Brawn,17,6,9,4,95
2010,Sebastian Vettel,Red Bull,19,5,10,1,256
2011,Sebastian Vettel,Red Bull,19,11,17,15,392
2012,Sebastian Vettel,Red Bull,20,5,10,6,281
2013,Sebastian Vettel,Red Bull,19,13,16,9,396
2014,Lewis Hamilton,Mercedes,19,11,16,7,384
2015,Lewis Hamilton,Mercedes,19,10,17,11,381
2016,Nico Rosberg,Mercedes,21,9,16,8,385
2017,Lewis Hamilton,Mercedes,20,9,13,11,363
2018,Lewis Hamilton,Mercedes,21,11,17,11,408
2019,Lewis Hamilton,Mercedes,21,10,16,5,381
2020,Lewis Hamilton,Mercedes,17,11,14,10,347
2021,Max Verstappen,Red Bull,22,10,18,10,3945
2022,Max Verstappen,Red Bull,22,15,17,8,454
