country,nationality,countryId,urlCountry
Afghanistan,Afghan,1,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-1-300x200.jpg
Albania,Albanian,2,https://www.countryflags.com/wp-content/uploads/albania-albanian-flag-png-square-large.png
Algeria,Algerian,3,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-3-300x200.jpg
Andorra,Andorran,4,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-4-scaled.jpg
Angola,Angolan,5,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-5-300x200.jpg
Argentina,Argentinian,6,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-7-scaled.jpg
Armenia,Armenian,7,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-8-scaled.jpg
Australia,Australian,8,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-9-scaled.jpg
Austria,Austrian,9,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-10-300x200.jpg
Azerbaijan,Azerbaijani,10,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-11-scaled.jpg
Bahamas,Bahamian,11,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-12-scaled.jpg
Bahrain,Bahraini,12,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-13-scaled.jpg
Bangladesh,Bangladeshi,13,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-14-scaled.jpg
Barbados,Barbadian,14,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-15-300x200.jpg
Belarus,Belarusian or Belarusan,15,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-16-scaled.jpg
Belgium,Belgian,16,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-18-scaled.jpg
Belize,Belizean,17,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-19-300x200.jpg
Benin,Beninese,18,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-20-300x200.jpg
Bhutan,Bhutanese,19,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-21-300x200.jpg
Bolivia,Bolivian,20,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-scaled.jpg
Bosnia-and-Herzegovina,Bosnian,21,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-22-scaled.jpg
Botswana,Botswanan,22,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-23-300x200.jpg
Brazil,Brazilian,23,https://www.countryflags.com/wp-content/uploads/brazil-flag-png-large.png
Brunei,Bruneian,25,https://www.countryflags.com/wp-content/uploads/brunei-flag-png-large.png
Bulgaria,Bulgarian,26,https://www.countryflags.com/wp-content/uploads/bulgaria-flag-png-large.png
Burkina,Burkinese,27,https://www.countryflags.com/wp-content/uploads/burkina-faso-flag-png-large-300x200.png
Myanmar,Burmese,28,https://www.countryflags.com/wp-content/uploads/myanmar-flag-png-large-300x200.png
Burundi,Burundian,29,https://www.countryflags.com/wp-content/uploads/burundi-flag-png-large.png
Cambodia,Cambodian,30,https://www.countryflags.com/wp-content/uploads/cambodia-flag-png-large.png
Cameroon,Cameroonian,31,https://www.countryflags.com/wp-content/uploads/cameroon-flag-png-large-300x200.png
Canada,Canadian,32,https://www.countryflags.com/wp-content/uploads/canada-flag-png-large.png
Cape Verde,Cape Verdean,33,https://www.countryflags.com/wp-content/uploads/cape-verde-flag-png-large.png
Chad,Chadian,34,https://www.countryflags.com/wp-content/uploads/chad-flag-png-large-300x200.png
Chile,Chilean,35,https://www.countryflags.com/wp-content/uploads/chile-flag-png-large-300x200.png
China,Chinese,36,https://www.countryflags.com/wp-content/uploads/china-flag-png-large-300x200.png
Colombia,Colombian,37,https://www.countryflags.com/wp-content/uploads/colombia-flag-png-large-300x200.png
Congo,Congolese,38,https://www.countryflags.com/wp-content/uploads/congo-democratic-republic-of-the-flag-png-large.png
Costa Rica,Costa Rican,39,https://www.countryflags.com/wp-content/uploads/costa-rica-flag-png-large.png
Croatia,Croat or Croatian,40,https://www.countryflags.com/wp-content/uploads/croatia-flag-png-large.png
Cuba,Cuban,41,https://www.countryflags.com/wp-content/uploads/cuba-flag-png-large.png
Cyprus,Cypriot,42,https://www.countryflags.com/wp-content/uploads/cyprus-flag-png-large-300x200.png
Czech Republic,Czech,43,https://www.countryflags.com/wp-content/uploads/czech-republic-flag-png-large-300x200.png
Denmark,Danish,44,https://www.countryflags.com/wp-content/uploads/denmark-flag-png-large.png
Djibouti,Djiboutian,45,https://www.countryflags.com/wp-content/uploads/djibouti-flag-png-large-300x200.png
Dominica,Dominican,46,https://www.countryflags.com/wp-content/uploads/dominica-flag-png-large.png
Dominican Republic,Dominican,47,https://www.countryflags.com/wp-content/uploads/dominican-republic-flag-png-large.png
